 #DYNAMICS. TIME (1st COL) AND FIDELITIES AGAINST ALL THE BASIS VECTORS ORDERED BY INDEX NUMBER
   0.0000000000000000        0.0000000000000000       0.99999999999999933        7.7037197775489434E-034   6.9526070992379214E-032   3.7748226909989823E-032   2.3303752327085554E-032   1.7333369499485123E-033
   1.6000000000000001E-003   0.0000000000000000       0.99999853714381193        1.4628553311899193E-006   8.5597948522935253E-013   2.5043518930496743E-019   3.6698675209057934E-026   3.6337661974335894E-033
   3.2000000000000002E-003   0.0000000000000000       0.99999414858723412        5.8513990693340761E-006   1.3695627693018734E-011   1.6027809937242647E-017   9.3792988128078284E-024   2.2003576581855725E-030
   4.8000000000000004E-003   0.0000000000000000       0.99998683436621683        1.3165564448548345E-005   6.9333743308987867E-011   1.8256597140603704E-016   2.4036672726916915E-022   1.2661169152796599E-028
   6.4000000000000003E-003   0.0000000000000000       0.99997659454067744        2.3405240193668121E-005   2.1912722223861300E-010   1.0257690322696884E-015   2.4009046526322351E-021   2.2479253261034370E-027
   8.0000000000000002E-003   0.0000000000000000       0.99996342919449965        3.6570270522211644E-005   5.3497340480186877E-010   3.9129674123775564E-015   1.4310377404439886E-020   2.0934737254167309E-026
   9.6000000000000009E-003   0.0000000000000000       0.99994733843553252        5.2660455147128768E-005   1.1093077618421222E-009   1.1683945278616273E-014   6.1531486205187859E-020   1.2961936665035572E-025
   1.1200000000000002E-002   0.0000000000000000       0.99992832239558849        7.1675549280334657E-005   2.0551009198521564E-009   2.9462208365854744E-014   2.1118723132392891E-019   6.0552570195056211E-025
   1.2800000000000002E-002   0.0000000000000000       0.99990638123044195        9.3615263637029001E-005   3.5058550251876019E-009   6.5646452302038317E-014   6.1460876510955053E-019   2.3016928405617543E-024
   1.4400000000000003E-002   0.0000000000000000       0.99988151511982593        1.1847926444080004E-004   5.6155994474669299E-009   1.3308218270223446E-013   1.5769350148053535E-018   7.4742674212737067E-024
   1.6000000000000004E-002   0.0000000000000000       0.99985372426743335        1.4626717342951378E-004   8.5588858222129567E-009   2.5041342943490517E-013   3.6632624476554199E-018   2.1435769012321910E-023
   1.7600000000000005E-002   0.0000000000000000       0.99982300890091147        1.7697856786198776E-004   1.2530782433070547E-008   4.4361448862298364E-013   7.8524158379547549E-018   5.5598261107722246E-023
   1.9200000000000005E-002   0.0000000000000000       0.99978936927185813        2.1061298052544989E-004   1.7746867933463416E-008   7.4770161706273771E-013   1.5750883995250506E-017   1.3272167656107833E-022
   2.0800000000000006E-002   0.0000000000000000       0.99975280565582236        2.4716989974378142E-004   2.4443224408194311E-008   1.2086245949397297E-012   2.9880948159453876E-017   2.9550003880097326E-022
   2.2400000000000007E-002   0.0000000000000000       0.99971331835229738        2.8664876938654517E-004   3.2876429774798014E-008   1.8853380637983939E-012   5.4058479926150318E-017   6.2000983954597904E-022
   2.4000000000000007E-002   0.0000000000000000       0.99967090768471900        3.2904898887879620E-004   4.3323549525207394E-008   2.8520525379792991E-012   9.3877391795650932E-017   1.2360175710797830E-021
   2.5600000000000008E-002   0.0000000000000000       0.99962557400045904        3.7436991321167912E-004   5.6082127807903747E-008   4.2006649788387385E-012   1.5731915627839366E-016   2.3567052219611446E-021
   2.7200000000000009E-002   0.0000000000000000       0.99957731767082414        4.2261085295380640E-004   7.1470177850489752E-008   6.0433688121314499E-012   2.5550730909320160E-016   4.3210335962644679E-021
   2.8800000000000010E-002   0.0000000000000000       0.99952613909104815        4.7377107426342294E-004   8.9826171723332810E-008   8.5154432604419950E-012   4.0362831458943603E-016   7.6527239610565360E-021
   3.0400000000000010E-002   0.0000000000000000       0.99947203868028944        5.2784979890135072E-004   1.1150902944429322E-007   1.1778221853194276E-011   6.2204158270201412E-016   1.3140719998453626E-020
   3.2000000000000008E-002   0.0000000000000000       0.99941501688162371        5.8484620424472029E-004   1.3689810742529501E-007   1.6022239968525665E-011   9.3760305448986390E-016   2.1946983993858420E-020
   3.3600000000000005E-002   0.0000000000000000       0.99935507416203961        6.4475942330148269E-004   1.6639318626014339E-007   2.1470561251982426E-011   1.3852279611888574E-015   3.5748608712605291E-020
   3.5200000000000002E-002   0.0000000000000000       0.99929221101243115        7.0758854472570301E-004   2.0041445785492158E-007   2.8382282748651467E-011   2.0097201555404334E-015   5.6922491122256998E-020
   3.6799999999999999E-002   0.0000000000000000       0.99922642794759453        7.7333261283363914E-004   2.3940251190072789E-007   3.7056218576098462E-011   2.8678965879622766E-015   8.8782202886453904E-020
   3.8399999999999997E-002   0.0000000000000000       0.99915772550621818        8.4199062762059908E-004   2.8381832168956884E-007   4.7834761956908653E-011   4.0310371295039302E-015   1.3587827191073966E-019
   3.9999999999999994E-002   0.0000000000000000       0.99908610425087774        9.1356154477858337E-004   3.3414322927323527E-007   6.1107925420920116E-011   5.5876913054647547E-015   2.0437477965653743E-019
   4.1599999999999991E-002   0.0000000000000000       0.99901156476802944        9.8804427571470388E-004   3.9087892996566605E-007   7.7317558978435871E-011   7.6468751343654476E-015   3.0251707522201897E-019
   4.3199999999999988E-002   0.0000000000000000       0.99893410766800084        1.0654376875703880E-003   4.5454745619026587E-007   9.6961746056569609E-011   1.0341692340547215E-014   4.4120744431331358E-019
   4.4799999999999986E-002   0.0000000000000000       0.99885373358498408        1.1457406032413622E-003   5.2569116067078605E-007   1.2059937698240310E-010   1.3833416232521125E-014   6.3470782618470872E-019
   4.6399999999999983E-002   0.0000000000000000       0.99877044317702846        1.2289518013984114E-003   6.0487269896816542E-007   1.4885489978823775E-010   1.8316069249776153E-014   9.0149110433557296E-019
