 #STATE AT TIME T. FIRST ROW IS TIME, FOLLOWING ROWS ARE THE STATE ORDERED IN THE BASIS VECTORS.
   7.9999999999993801     
 (  0.0000000000000000     ,  0.0000000000000000     )
 (-0.61038158622304861     ,  3.7123082385903672E-016)
 ( -2.1510571102112408E-016,-0.63771663987201999     )
 ( 0.42138992729189084     ,  4.1633363423443370E-017)
 (  3.6082248300317588E-016, 0.19689079113443728     )
 ( -6.5050674215812454E-002,  2.6367796834847468E-016)
 (  3.5041414214731503E-016, -1.3592709723716439E-002)
