 #STATE AT TIME T. FIRST ROW IS TIME, FOLLOWING ROWS ARE THE STATE ORDERED IN THE BASIS VECTORS.
   4.9990000000000041     
               (0.0000000000000000,0.0000000000000000)
        (0.85317488376249317,2.22044604925031308E-016)
      (-8.32667268468867405E-017,-0.50053471703638941)
      (-0.14682511623750649,-5.55111512312578270E-017)
