 #A_M VECTORS.
   4.9990000000000041     
             (0.35317488376249340,0.35393149263572077)
      (-0.70710678118654746,-1.96222305024004929E-016)
                                             (NaN,NaN)
            (0.35317488376249334,-0.35393149263572066)
