 #STATE AT TIME T. FIRST ROW IS TIME, FOLLOWING ROWS ARE THE STATE ORDERED IN THE BASIS VECTORS.
   8.0000000000057483     
 (  0.0000000000000000     ,  0.0000000000000000     )
 ( 0.65629000681405159     ,  8.3266726846886741E-017)
 ( -1.3877787807814457E-017, 0.67167467388619539     )
 (-0.34370999318594803     ,  1.1102230246251565E-016)
