 #STATE AT TIME T. FIRST ROW IS TIME, FOLLOWING ROWS ARE THE STATE ORDERED IN THE BASIS VECTORS.
   8.0015999999993799     
 (  0.0000000000000000     ,  0.0000000000000000     )
 (-0.61038158622304883     ,  3.7123082385903687E-016)
 ( -2.1510571102112418E-016,-0.63771663987202032     )
 ( 0.42138992729189101     ,  4.1633363423443389E-017)
 (  3.6082248300317602E-016, 0.19689079113443736     )
 ( -6.5050674215812482E-002,  2.6367796834847478E-016)
 (  3.5041414214731518E-016, -1.3592709723716444E-002)
