 #A_M VECTORS.
   15.999999999998760     
       (5.91857451116925698E-002,-0.16657445434943760)
           (-0.34323219951285550,-0.19606545060139416)
            (-0.35867218223329134,0.42878229991897882)
                                             (NaN,NaN)
           (-0.35867218223329195,-0.42878229991897804)
            (0.34323219951285477,-0.19606545060139535)
      (-5.91857451116919731E-002,-0.16657445434943779)
